n,k,rep,algo,time,distance,ranking
100.0,6.0,0.0,random_circle_removal,0.0012154579162597656,-0.12242424242424245,"[1, 23, 17, 67, 39, 11, 6, 12, 74, 13, 20, 57, 29, 53, 25, 86, 100, 93, 27, 72, 89, 91, 77, 61, 62, 28, 15, 79, 30, 31, 47, 58, 63, 50, 52, 21, 81, 88, 84, 92, 95, 76, 49, 55, 73, 14, 46, 71, 59, 90, 56, 78, 83, 96, 97, 94, 40, 69, 75, 54, 68, 64, 98, 99, 87, 22, 37, 80, 82, 85, 41, 65, 66, 70, 43, 48, 32, 36, 42, 19, 34, 44, 45, 5, 35, 51, 60, 10, 3, 24, 16, 18, 4, 9, 33, 38, 2, 7, 8, 26]"
100.0,6.0,0.0,page_rank,0.06673002243041992,0.7252525252525254,"[  1   2   4   6  10   5  16   9  12  26  11   7  38   3  47  18  23  17
   8  39  21  14  15  13  22  19  49  24  35  20  33  28  45  40  29  31
  34  56  42  36  60  44  25  32  73  30  27  70  48  79  57  53  51  50
  62  65  81  43  46  69  41  55  93  61  37  87  76  68  82  52  67  94
  66  71  58  59  85  64  91  77  54  83  63  74  90  75  92  97  80  88
 100  86  78  84  72  96  95  99  89  98]"
100.0,6.0,0.0,em,0.037078142166137695,0.7478787878787879,"[  1   6  39  17   7  12   3  23   2  11   4  16   9  18  26   5  15  10
  24  29  47  13  25  38  20   8  35  19  21  33  14  34  28  22  32  48
  36  49  31  40  53  45  27  42  57  65  52  37  30  51  50  56  79  61
  46  62  68  44  71  82  60  43  81  70  73  41  55  66  67  76  93  69
  63  58  59  54  85  90  77  64  87  83  91  94  74  97  78  75  88 100
  80  92  86  84  96  95  89  72  99  98]"
100.0,6.0,0.0,borda_ordering,0.0008141994476318359,0.7579797979797981,"[  1   6   2  39  17  11  12  23   3   7  13   4   5  20  26  25  21  19
  16  22  47  10   8  29  14   9  28  34  49  40  33  48  27  15  30  38
  18  24  35  44  31  36  62  42  32  56  53  51  50  45  46  43  67  55
  57  65  68  60  52  41  79  61  37  71  93  59  76  82  73  70  64  54
  81  69  66  83  63  58  94  87  91  77  74  85  75  88  80  97  86  90
  92 100  84  78  72  96  95  98  89  99]"
100.0,6.0,1.0,random_circle_removal,0.0013036727905273438,0.1583838383838384,"[2, 4, 1, 10, 18, 11, 7, 15, 20, 23, 19, 24, 27, 45, 31, 46, 22, 54, 57, 87, 61, 72, 79, 55, 58, 26, 52, 74, 98, 86, 60, 62, 88, 51, 83, 84, 85, 71, 90, 93, 94, 91, 92, 97, 82, 63, 28, 41, 56, 69, 30, 47, 53, 59, 6, 13, 21, 38, 35, 37, 89, 44, 70, 16, 17, 25, 8, 32, 34, 50, 48, 14, 67, 75, 81, 40, 78, 5, 12, 29, 3, 9, 43, 65, 76, 77, 36, 95, 96, 73, 66, 80, 33, 39, 49, 68, 64, 42, 99, 100]"
100.0,6.0,1.0,page_rank,0.02515101432800293,0.7418181818181819,"[  4  33   3   2   6   1   9   5  10  17  22  14  16   7  11  28  59  18
  12   8  29  19  30  15  45  23  21  13  39  31  37  26  25  32  35  27
  42  40  58  80  38  68  46  48  36  20  51  73  78  70  41  43  34  24
  61  76  81  63  47  44  52  55  49  54  53  64  57  50  62  65  67  88
  60  91  77  94  56  75  85  66  69  71  82  96  72  79  74  90  84  89
  87  86  83  97  98  93  95  92  99 100]"
100.0,6.0,1.0,em,0.08722305297851562,0.7701010101010102,"[  2   1  18   4  19  15   9  12   7  11   3  13  10  17   6  32  22  14
   8   5  33  23  21  41  31  27  16  26  34  45  39  29  37  35  28  25
  42  40  30  52  59  36  46  58  70  38  53  43  20  51  24  68  48  80
  50  73  47  81  54  76  49  64  44  56  55  63  65  57  77  78  62  69
  67  88  75  66  60  61  91  85  94  82  71  96  90  89  79  74  84  72
  87  83  97  86  95  93  98  92  99 100]"
100.0,6.0,1.0,borda_ordering,0.0008172988891601562,0.8052525252525253,"[  2   1   4  18  12   9  19  15   7   8  11  31   3  13  17  21   6  14
  10  32  22  16   5  33  20  23  41  40  26  43  28  30  29  27  34  38
  24  42  45  51  48  46  59  58  37  39  36  25  49  70  35  68  57  54
  47  52  53  65  67  73  63  50  44  64  55  76  60  62  75  61  88  80
  78  81  72  71  66  56  77  91  79  69  82  74  84  85  90  94  83  89
  98  97  96  87  86  95  92  93  99 100]"
