n,k,rep,algo,time,distance,ranking
100,6,0,random_circle_removal,0.0023660659790039062,-0.14060606060606062,"[93, 88, 90, 6, 24, 13, 50, 55, 71, 66, 68, 72, 12, 11, 38, 14, 47, 39, 87, 79, 95, 92, 96, 15, 46, 73, 84, 98, 99, 44, 19, 10, 23, 61, 70, 82, 76, 77, 91, 60, 75, 4, 5, 7, 27, 28, 2, 36, 45, 56, 62, 63, 85, 69, 80, 43, 22, 3, 54, 29, 65, 74, 31, 52, 78, 59, 86, 89, 81, 94, 97, 100, 67, 42, 37, 41, 58, 20, 32, 34, 51, 30, 49, 35, 57, 53, 40, 48, 21, 16, 17, 25, 26, 8, 18, 33, 64, 83, 9, 1]"
100,6,0,page_rank,0.019041061401367188,0.7191919191919193,"[  9   2   4   1   3   5  28   6  12  26  41  31  23  14  21   8   7  10
  13  38  11  18  22  27  39  16  52  15  25  33  35  24  19  29  70  20
  32  30  37  17  44  45  40  83  48  46  34  85  49  42  76  53  36  51
  75  69  54  43  47  80  61  58  74  96  57  50  67  56  71  78  84  79
  73  63  72  60  68  65  82  66  86  62  64  59  92  55  81  87  89  99
  77  91  95 100  90  88  94  98  97  93]"
100,6,0,em,0.06255793571472168,0.7240404040404042,"[ 12   2  13   1   8  23   6  28   4   7  14  26  27  18   3  10  16  21
  25  35  41   9  24  33  11  17  39  19  38  31  20   5  53  46  36  37
  29  45  15  30  48  70  40  22  32  52  51  57  47  42  61  34  43  54
  49  56  58  84  73  79  80  50  44  69  76  74  83  78  75  96  67  85
  72  65  71  68  59  92  60  64  63  66  87  62  82  86  81  55  77  99
  91  89 100  95  90  94  97  98  88  93]"
100,6,0,borda_ordering,0.0010831356048583984,0.7753535353535355,"[  2  12   1   3   6  13   4  16   7  14  33  10  41   9   8   5  35  23
  28  21  15  11  37  18  24  26  31  46  32  38  25  29  30  19  42  17
  53  22  27  48  34  36  20  39  70  43  45  56  57  51  50  49  47  44
  52  40  61  54  78  71  80  66  72  83  82  67  58  79  55  62  81  69
  59  73  85  68  60  65  96  63  84  76  74  64  75  89  95  91  87  92
  86  77  94 100  88  90  97  98  93  99]"
100,6,1,random_circle_removal,0.0012068748474121094,-0.13898989898989902,"[3, 19, 37, 15, 25, 30, 39, 38, 76, 97, 31, 41, 70, 27, 63, 73, 78, 62, 87, 88, 99, 100, 60, 67, 71, 79, 59, 68, 74, 47, 29, 89, 43, 75, 91, 94, 42, 4, 22, 51, 93, 95, 24, 52, 90, 92, 66, 82, 84, 61, 69, 50, 98, 23, 8, 6, 11, 12, 13, 46, 53, 81, 85, 55, 7, 34, 58, 64, 65, 49, 40, 14, 36, 17, 21, 5, 35, 57, 72, 83, 86, 16, 56, 45, 20, 33, 44, 54, 9, 18, 32, 48, 80, 77, 10, 2, 26, 28, 1, 96]"
100,6,1,page_rank,0.016872882843017578,0.6638383838383839,"[  3   4  28   9  54   1  42   6  12  10   2  15  21   5  16   7  18  29
  11  19  55   8  36  44  14  17  25  23  20  24  13  32  45  26  30  35
  49  47  38  77  48  56  33  46  40  66  39  27  31  22  95  41  86  63
  87  64  69  37  50  34  98  52  62  43  79  53  60  94  85  67  89  65
  81  68  61  78  57  51  58  92  74  59  76  71  80  83  75  93  70  72
  82  73  88  90 100  84  97  91  99  96]"
100,6,1,em,0.044500112533569336,0.7490909090909093,"[  3   9   1   5  36  15   2   4  12   7  18  21  11  14  16  30  22  17
  19  10  20   8   6  23  31  27  29  28  13  54  35  40  45  52  25  49
  34  24  26  56  33  41  48  64  47  42  55  38  46  44  32  57  79  39
  50  66  53  37  65  60  51  98  77  58  67  62  69  63  86  81  85  74
  61  59  92  89  71  78  70  43  68  76  95  93  90  83  87  94  72  75
  82  80  73 100  88  84  97  91  99  96]"
100,6,1,borda_ordering,0.0010161399841308594,0.7842424242424243,"[  3   1   4   5   2  15   9  36   7  12  19  10   8  16  21  31  14  17
  28  25   6  54  23  29  24  18  11  20  13  38  22  30  35  49  46  42
  40  26  56  47  55  45  27  69  34  41  44  33  32  48  52  63  50  77
  57  37  67  39  43  53  62  64  65  58  66  81  51  60  68  71  79  86
  98  61  70  72  76  85  74  75  59  78  87  92  82  73  95  90  83  80
  94  89  84  88  93 100  91  97  99  96]"
