n,k,rep,algo,time,distance,ranking
100.0,6.0,0.0,random_circle_removal,0.0013058185577392578,-0.258989898989899,"[2, 6, 12, 14, 15, 3, 59, 62, 77, 89, 93, 80, 83, 92, 100, 56, 84, 79, 90, 95, 53, 54, 78, 7, 86, 46, 55, 87, 76, 70, 42, 81, 91, 85, 98, 51, 44, 58, 74, 75, 26, 61, 63, 97, 24, 50, 28, 60, 5, 22, 39, 82, 40, 52, 21, 34, 45, 57, 72, 96, 99, 47, 73, 88, 33, 48, 94, 11, 20, 49, 64, 67, 71, 65, 37, 27, 38, 32, 68, 66, 10, 13, 23, 31, 9, 69, 4, 41, 25, 35, 18, 19, 1, 8, 17, 36, 29, 43, 16, 30]"
100.0,6.0,0.0,page_rank,0.08196520805358887,0.6864646464646466,"[  2   1   6  15   3   5  14  10  12  13  19  11  18  16  21  25  52   9
   4   8  35  20  60  17  23  66  30   7  38  22  31  82  43  24  36  26
  28  69  32  37  90  39  44  40  61  46  49  29  33  27  83  34  41  55
  47  45  42  68  88  73  50  54  78  80  53  70  56  59  64  94  48  75
  65  62  77  57  63  71  81  76  51  89  67  99  98  58  86  97  74 100
  87  85  92  79  95  93  91  72  84  96]"
100.0,6.0,0.0,em,0.05983996391296387,0.7147474747474748,"[  2   6   3  14   8   1  10  19  35  21  12   5  32  13  16  20  15  23
   4  22  27   9  38  30  36  11  17  18  25  66  43  24  61  31  28   7
  26  45  52  29  33  34  39  55  37  40  47  54  46  68  49  41  50  42
  73  53  88  90  60  69  44  82  62  65  59  70  78  94  64  57  83  56
  75  48  81  71  63  51  97  77  98  80  76  92  67  87  74  89 100  95
  58  93  86  99  79  91  85  72  84  96]"
100.0,6.0,0.0,borda_ordering,0.0008256435394287109,0.7579797979797981,"[  2   6   1   4   5  19  14   3   8  35  21  13  12   9   7  23  30  10
  16  20  22  24  32  18  27  36  26  17  15  31  11  61  47  25  33  46
  29  55  43  39  68  37  45  42  66  28  40  69  53  52  70  54  50  49
  34  38  44  60  48  62  90  59  75  57  41  67  71  63  80  64  51  73
  65  81  78  76  88  58  56  82  74  98  87  83  94  77  95  93  99  86
  85  79  89  91  97  72  92  84 100  96]"
100.0,8.0,0.0,random_circle_removal,0.0015990734100341797,-0.17535353535353537,"[2, 8, 3, 96, 42, 29, 44, 50, 47, 49, 88, 89, 95, 51, 56, 40, 54, 55, 61, 62, 59, 60, 87, 31, 39, 45, 57, 63, 30, 52, 35, 37, 46, 53, 28, 58, 26, 91, 70, 84, 86, 98, 100, 20, 41, 76, 93, 77, 85, 92, 18, 75, 81, 94, 79, 97, 21, 22, 25, 36, 74, 83, 68, 90, 48, 69, 73, 78, 80, 99, 65, 71, 82, 64, 72, 43, 14, 17, 19, 67, 23, 12, 15, 7, 13, 16, 11, 27, 1, 34, 38, 32, 66, 5, 33, 9, 6, 10, 4, 24]"
100.0,8.0,0.0,page_rank,0.035841941833496094,0.7866666666666667,"[  2   3   7   6   5  15   9  10   1  16   4   8  14  17  12  18  11  22
  13  27  23  20  29  21  19  30  61  33  26  47  66  24  28  43  25  34
  35  32  39  38  53  52  63  36  40  37  41  67  31  44  46  42  54  59
  45  57  58  50  76  82  60  55  71  73  74  48  72  92  69  56  70  83
  49  51  97  65  99  79  62  75  85  64  80  86  87  68  81  78  77  89
  95  90 100  91  84  93  94  96  88  98]"
100.0,8.0,0.0,em,0.0931251049041748,0.8177777777777779,"[  2   3   6   7   4  10   1  12   8  13  16   5  15   9  23  14  22  20
  17  24  19  11  25  29  28  33  32  37  34  30  21  26  18  27  31  35
  47  36  38  39  52  43  40  66  55  63  53  46  61  45  54  42  76  67
  60  48  59  50  57  41  69  44  58  72  82  56  73  71  62  65  51  74
  49  70  64  85  80  99  68  87  92  86  97  83  75  79  81  89  78  77
  90  95  91  84 100  88  94  93  96  98]"
100.0,8.0,0.0,borda_ordering,0.0009911060333251953,0.8327272727272729,"[  2   3   6   1   7   4  12   5   8  10  23  14  13  16  21  15   9  17
  22  25  28  20  11  29  26  18  30  24  33  32  27  34  19  38  53  47
  39  54  35  36  40  41  43  37  59  45  50  46  44  31  42  61  52  76
  66  60  58  63  48  55  72  57  82  51  75  73  56  64  49  71  74  80
  67  65  62  85  70  99  69  86  81  83  77  78  79  92  68  95  89  97
  87  93  90  84  91  94  88  96  98 100]"
100.0,12.0,0.0,random_circle_removal,0.0022766590118408203,-0.35959595959595964,"[24, 28, 35, 42, 44, 45, 48, 55, 59, 57, 61, 99, 89, 97, 96, 94, 92, 98, 95, 93, 88, 90, 86, 62, 63, 54, 58, 47, 52, 53, 51, 83, 85, 91, 50, 56, 43, 49, 36, 60, 41, 39, 33, 34, 38, 40, 27, 29, 30, 13, 31, 80, 84, 87, 82, 100, 77, 78, 81, 73, 75, 76, 68, 74, 69, 79, 72, 21, 23, 25, 22, 20, 32, 12, 15, 18, 10, 19, 9, 14, 5, 6, 4, 16, 46, 3, 7, 11, 65, 66, 70, 71, 64, 67, 26, 1, 37, 8, 2, 17]"
100.0,12.0,0.0,page_rank,0.017673969268798828,0.8484848484848486,"[  4   6   1   2   3   8   5   9  23   7  13  17  11  12  10  22  16  20
  14  27  26  19  18  24  37  15  40  64  46  21  25  30  47  32  29  31
  28  48  35  36  39  41  44  34  38  33  43  60  45  58  54  67  50  42
  52  55  66  49  62  72  61  56  63  71  53  57  51  70  65  91  59  86
  74  75  69  73  76  68  77  80  78  79  81  82  83  84  90  89  87  97
  99  85  88  92  94  95  96  93  98 100]"
100.0,12.0,0.0,em,0.039031028747558594,0.895757575757576,"[  5   4   2   1   6   9   8  10  11   3  13   7  17  23  12  18  15  14
  16  22  20  27  19  24  25  28  21  32  26  29  37  30  31  39  34  46
  38  33  35  47  36  41  40  48  43  44  45  60  52  54  55  49  56  58
  66  67  42  50  64  53  72  51  61  63  62  71  59  70  57  65  73  69
  80  86  78  74  76  77  75  68  79  83  91  81  82  84  89  87  90  85
  97  99  92  95  88  94  98  93  96 100]"
100.0,12.0,0.0,borda_ordering,0.0011827945709228516,0.9034343434343436,"[  1   4   5   3   6   2   9   8   7  12  10  13  23  18  11  16  14  17
  24  22  27  15  19  20  30  32  28  26  25  21  37  39  29  31  48  35
  33  34  47  43  40  36  46  38  41  45  60  42  55  44  52  50  56  49
  58  54  67  51  64  66  53  72  61  65  63  59  62  57  69  71  70  74
  76  73  77  68  86  75  78  79  80  81  82  91  84  83  90  87  89  85
  88  99  94  92  97  93  95  96  98 100]"
