n,k,rep,algo,time,distance,ranking
100,12,0,em,0.04182291030883789,0.903838383838384,"[  1   6   4   3   5   8   7   9  17  13  11  15  10   2  18  19  25  14
  20  12  22  16  28  23  24  31  34  27  29  21  26  30  39  38  36  33
  37  35  45  48  40  32  42  41  46  43  47  52  50  44  49  60  51  59
  55  53  63  58  65  57  54  66  56  61  64  62  73  76  82  72  68  70
  69  71  67  74  78  79  75  80  84  87  81  77  95  89  83  92  90  85
  86  94  96  97  88  93  91  98 100  99]"
100,12,0,borda_ordering,0.0011560916900634766,0.9171717171717173,"[  1   6   4   3   5   8   2  13   7   9  10  17  11  15  12  18  20  19
  28  23  22  25  14  34  16  21  29  26  27  32  24  33  31  37  30  39
  36  45  42  35  48  38  43  40  47  41  46  49  50  60  44  55  58  51
  52  56  63  53  54  65  61  66  57  59  64  72  62  73  67  69  68  74
  70  76  75  82  71  79  78  77  87  81  84  80  86  90  83  95  89  92
  85  96  91  97  88  94  93  98  99 100]"
100,6,1,random_circle_removal,0.0011911392211914062,-0.14222222222222225,"[1, 11, 3, 7, 8, 28, 37, 43, 31, 47, 38, 30, 61, 51, 49, 68, 74, 45, 40, 42, 57, 58, 69, 63, 89, 90, 70, 76, 100, 67, 82, 94, 99, 44, 79, 80, 93, 96, 73, 78, 84, 85, 95, 77, 60, 71, 88, 53, 92, 52, 54, 59, 65, 83, 75, 72, 62, 66, 46, 5, 25, 56, 36, 87, 14, 13, 21, 98, 81, 86, 48, 55, 10, 33, 39, 50, 91, 27, 32, 12, 15, 20, 29, 24, 4, 17, 41, 16, 23, 35, 64, 19, 6, 9, 18, 34, 26, 22, 2, 97]"
100,6,1,page_rank,0.014058113098144531,0.7353535353535354,"[  3   2   6   1  22   5  14  15  10  11   9  19  33  34  13  16  12  46
   7  55  18  21   4  36  17  23  24  41  20  42  30  64  87  40  63  26
  28   8  35  37  32  31  25  38  47  49  27  29  61  45  51  43  54  56
  44  69  53  75  48  39  66  52  72  91  50  73  57  70  59  74  76  68
  58  86  83  60  67  82  71  65  81  62  94  88  78  79  90  77  92  85
  99  95  89  96  93  84  80 100  98  97]"
100,6,1,em,0.049690961837768555,0.768888888888889,"[  1   2   3  13   9  16   6   4   7  17  15   5  14  10  22  21  34  12
  20  11  18  24   8  30  19  32  33  26  41  36  46  42  29  28  31  23
  27  38  61  37  63  47  43  35  40  25  56  55  64  49  51  39  54  45
  59  69  57  87  75  52  66  74  72  91  50  58  62  48  53  44  70  76
  68  94  83  73  92  65  71  86  60  67  88  82  95  85  90  99  77  81
  79  78  96 100  89  93  98  84  80  97]"
100,6,1,borda_ordering,0.0007729530334472656,0.802828282828283,"[  1   2   5   6   3   4  13  10  15   9   7  11  28  17  24  23  22  21
  34  16  14  18  12   8  30  20  49  19  26  47  35  32  38  42  31  36
  46  41  43  25  55  27  33  51  37  45  63  39  59  52  61  74  29  40
  56  64  44  53  57  54  60  48  72  73  82  75  91  69  50  66  68  58
  70  71  67  65  86  76  83  78  81  79  94  77  62  87  88  90  89  92
  95  99  93  85  80  84  96  98 100  97]"
100,8,1,random_circle_removal,0.0016438961029052734,-0.3175757575757576,"[3, 29, 27, 28, 30, 40, 7, 15, 57, 60, 71, 42, 76, 83, 73, 94, 85, 91, 98, 100, 89, 84, 52, 61, 62, 74, 78, 90, 95, 92, 31, 44, 47, 54, 82, 86, 88, 93, 77, 58, 79, 72, 41, 53, 49, 45, 63, 99, 69, 75, 87, 67, 55, 64, 80, 68, 70, 22, 38, 14, 12, 13, 23, 24, 37, 46, 66, 97, 20, 36, 48, 56, 65, 81, 96, 39, 51, 25, 19, 50, 59, 43, 8, 11, 21, 4, 18, 16, 26, 34, 35, 32, 33, 9, 17, 5, 6, 2, 10, 1]"
100,8,1,page_rank,0.01552581787109375,0.7466666666666667,"[  1  10   6   7   5   2   4  15  17  29   3   8   9  97  21  13  19  11
  31  40  14  32  12  37  20  61  60  23  16  22  18  28  27  44  24  38
  30  25  43  34  36  33  51  26  35  50  39  59  41  49  42  58  62  57
  48  63  45  84  52  68  47  53  66  54  46  75  67  70  73  72  96  56
  55  71  64  65  76  94  79  93  86  74  95  69  82  80  92  77  90  83
  87  81  78  91  99  89  88  98  85 100]"
100,8,1,em,0.052351951599121094,0.823838383838384,"[  1   2   6   3   4   5  11   8   7  10  21  12   9  29  19  15  13  18
  25  17  32  23  16  38  28  27  14  40  37  22  31  35  20  36  33  24
  30  44  45  34  43  26  50  51  60  63  48  62  42  49  52  59  58  57
  61  39  41  53  46  66  47  68  56  54  67  75  76  55  70  97  65  80
  64  72  84  71  74  79  87  73  96  69  92  77  83  82  94  93  86  78
  81  89  90  95  88  99  91  85  98 100]"
100,8,1,borda_ordering,0.0009031295776367188,0.8444444444444446,"[  1   2   4   6   3   5   7   8  10  11  12   9  21  15  13  27  19  23
  40  18  14  29  25  17  20  36  16  41  32  24  37  31  22  34  38  51
  28  33  43  30  26  39  44  35  49  50  45  42  57  60  66  58  48  59
  52  68  53  63  54  62  70  47  61  46  65  55  74  71  75  56  72  69
  84  73  64  77  97  67  80  76  81  79  86  94  93  87  82  96  91  83
  78  88  99  89  92  95  98  85  90 100]"
100,12,1,random_circle_removal,0.0021660327911376953,-0.28848484848484857,"[13, 14, 20, 31, 30, 58, 59, 56, 26, 29, 61, 55, 60, 54, 62, 52, 80, 93, 87, 89, 92, 63, 94, 84, 85, 88, 82, 98, 90, 95, 100, 91, 79, 83, 78, 86, 57, 76, 77, 81, 72, 53, 50, 47, 51, 23, 25, 42, 49, 46, 21, 19, 41, 28, 36, 38, 48, 9, 12, 15, 22, 34, 11, 27, 74, 70, 71, 66, 43, 73, 45, 64, 69, 39, 40, 32, 67, 75, 97, 99, 96, 68, 65, 37, 44, 16, 18, 10, 7, 17, 6, 24, 8, 3, 4, 5, 33, 35, 2, 1]"
100,12,1,page_rank,0.024142026901245117,0.8464646464646466,"[  3   2  10   4   1   7   6   8   9   5  11  17  13  23  18  35  20  54
  31  19  34  12  30  24  14  16  15  21  33  22  46  27  26  37  38  28
  29  36  32  52  25  44  39  48  40  42  45  41  49  53  43  47  60  51
  61  50  65  59  56  68  55  74  67  76  63  57  71  58  62  92  69  66
  64  97  81  75  72  73  70  77  78  80  82  79  87  86  88  84  90  83
  95  85  89  91  94  96  99  98  93 100]"
100,12,1,em,0.04799699783325195,0.9151515151515153,"[  4   3   1   7   8   2   5  10  11  13  15  18   6  12  20   9  17  14
  19  21  24  16  26  27  23  22  25  28  30  31  34  32  29  36  35  38
  33  42  41  37  46  44  40  39  48  54  45  47  49  43  52  53  61  50
  56  51  63  55  57  60  68  59  67  71  65  58  62  69  66  64  76  81
  74  73  75  70  72  77  80  78  82  87  83  97  79  92  86  88  95  94
  84  85  90  91  89  96  99  98  93 100]"
100,12,1,borda_ordering,0.0011701583862304688,0.9292929292929295,"[  3   1   2   4   8   7   5   6  10  11  16  12   9  20  18  19  15  13
  14  21  17  24  26  27  22  30  31  23  36  29  25  28  33  32  38  35
  34  40  41  46  37  44  39  43  42  54  45  48  49  52  47  53  56  61
  50  57  58  59  67  55  51  62  63  66  60  69  71  65  68  64  75  77
  70  72  81  78  73  76  74  82  80  79  87  86  88  83  84  89  90  85
  91  92  97  95  94  99  96  93  98 100]"
